,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
141,11,0.3,Linear Regressor,7.5532946954093365,4.113064615847709,9.44161836926167,Linear Regressor,7.9880368730273075,9.985046091284135
142,11,0.35,Multi-layer Regressor,6.907842155786783,2.9757534211407375,8.634802694733478,Multi-layer Regressor,8.162740942784707,10.203426178480884
143,11,0.4,Linear Regressor,5.952972011585647,3.259776343724034,7.441215014482058,Linear Regressor,8.039673536422866,10.049591920528583
144,11,0.45,Multi-layer Regressor,5.730647001485134,2.749341152307926,7.163308751856418,Multi-layer Regressor,8.200760957542442,10.250951196928053
145,11,0.5,Multi-layer Regressor,6.293390009043941,2.9418215794798646,7.866737511304926,Multi-layer Regressor,8.492051547046076,10.615064433807595
146,11,0.55,Multi-layer Regressor,6.1627882423989755,2.6235341181054674,7.703485302998719,Multi-layer Regressor,8.2464133102027,10.308016637753374
147,11,0.6,Multi-layer Regressor,6.555116512972515,2.847911743780552,8.193895641215644,Multi-layer Regressor,9.175655139650482,11.469568924563104
148,11,0.65,Multi-layer Regressor,6.339966794552644,2.0480517934866453,7.924958493190805,Multi-layer Regressor,8.214392779955343,10.267990974944178
149,11,0.7,Linear Regressor,6.909769415721215,2.7047294756613147,8.637211769651518,Linear Regressor,7.71161025769242,9.639512822115524
150,11,0.75,Linear Regressor,6.8290976092990645,1.8624481132671693,8.53637201162383,Linear Regressor,7.595359897916648,9.49419987239581
151,11,0.8,Multi-layer Regressor,6.913011825808193,1.6372944998311514,8.641264782260242,Multi-layer Regressor,8.225197073357842,10.281496341697302
152,11,0.85,Multi-layer Regressor,6.512826948100906,1.8789847302032747,8.141033685126132,Multi-layer Regressor,8.401579283533854,10.501974104417318
153,11,0.9,Linear Regressor,7.004155633581583,2.1417153096944475,8.755194541976978,Linear Regressor,6.700586117674782,8.375732647093479
154,12,0.25,Linear Regressor,15.157197249810272,13.567793739352025,1.461591958419569,Linear Regressor,27.860123398119363,2.686521237940467
155,12,0.3,Decision Tree Regressor,14.26072789917101,14.089242312897108,1.3751463991074502,Decision Tree Regressor,24.16378157308439,2.330087037210602
156,12,0.35,Linear Regressor,13.600735858534975,6.020343113488879,1.31150408824245,Linear Regressor,29.628519775489643,2.8570457671040006
157,12,0.4,Decision Tree Regressor,6.850243855286287,4.596336038395545,0.660561525134525,Decision Tree Regressor,26.50514929559899,2.5558625667184285
158,12,0.45,Random Forest Regressor,15.624755423123862,14.690914629488704,1.5066780818595102,Random Forest Regressor,21.72715373882005,2.0951256792810136
159,12,0.5,Random Forest Regressor,16.865122930558613,14.373810295538823,1.626285364424514,Random Forest Regressor,22.30824667790139,2.15115983604877
